sale_id,sale_date,customer_sk,product_sk,store_sk,quantity,unit_price,sales_amount
48,2026-03-07,23,50,23,5,2000,10000
49,2026-06-01,12,111,13,4,2350,9400
50,2026-03-24,63,46,12,3,1100,3300
51,2026-04-03,23,36,14,2,1750,3500
52,2026-08-04,20,21,24,5,35000,175000
53,2026-06-04,95,57,3,3,1600,4800
54,2026-08-27,38,30,8,5,7850,39250
55,2026-02-04,110,12,21,5,4150,20750
56,2026-04-28,93,83,25,1,3200,3200
57,2026-07-25,112,8,15,2,5900,11800
58,2026-01-11,73,12,9,1,4150,4150
59,2026-08-13,89,62,17,4,5050,20200
60,2026-08-28,60,26,25,2,5050,10100
61,2026-03-28,61,61,20,3,5500,16500
62,2026-04-11,83,63,21,4,12700,50800
63,2026-04-26,70,54,25,1,650,650
64,2026-06-15,41,117,9,2,28000,56000
65,2026-03-23,2,73,3,4,3000,12000
66,2026-06-20,62,12,3,2,4150,8300
67,2026-06-23,85,22,11,2,6700,13400
68,2026-01-19,6,24,23,3,8250,24750
69,2026-08-27,49,38,23,5,2000,10000
70,2026-07-18,20,29,14,4,1500,6000
71,2026-04-28,102,114,25,3,6150,18450
72,2026-08-13,60,43,23,2,5300,10600
73,2026-04-16,69,56,2,1,1200,1200
74,2026-03-23,33,83,6,2,3200,6400
75,2026-04-07,31,27,6,1,750,750
76,2026-01-28,43,56,25,5,1200,6000
77,2026-07-15,106,14,10,5,13450,67250
78,2026-07-31,45,111,15,4,2350,9400
79,2026-01-30,32,73,3,5,3000,15000
80,2026-09-08,20,55,8,4,1500,6000
81,2026-01-15,50,97,14,3,1800,5400
82,2026-02-13,9,70,18,3,2000,6000
83,2026-07-12,34,95,4,4,9550,38200
84,2026-03-11,28,34,24,1,550,550
85,2026-04-16,91,20,2,4,53100,212400
86,2026-07-28,117,31,25,2,5850,11700
87,2026-06-03,61,106,23,5,2800,14000
88,2026-06-06,32,78,4,3,1000,3000
89,2026-01-17,44,67,8,3,10600,31800
90,2026-01-06,27,28,20,3,1400,4200
91,2026-04-25,46,33,25,2,1800,3600
92,2026-05-21,4,83,25,5,3200,16000
93,2026-09-05,4,67,22,5,10600,53000
94,2026-08-04,28,99,1,2,1900,3800
95,2026-05-31,64,79,17,4,1250,5000
96,2026-07-30,32,22,7,5,6700,33500
97,2026-01-22,2,32,9,5,950,4750
98,2026-06-10,43,102,4,1,300,300
99,2026-04-21,72,83,24,1,3200,3200
100,2026-09-05,7,62,21,2,5050,10100
101,2026-04-05,44,30,17,3,7850,23550
102,2026-07-15,73,16,24,3,29500,88500
103,2026-07-07,69,29,19,2,1500,3000
104,2026-04-15,23,68,2,2,2100,4200
105,2026-03-01,45,115,22,1,9550,9550
106,2026-01-30,24,35,22,1,350,350
107,2026-07-30,50,88,11,2,2350,4700
108,2026-03-13,113,76,1,5,2950,14750
109,2026-02-26,74,79,19,5,1250,6250
110,2026-05-16,49,101,22,4,800,3200
111,2026-04-28,10,117,13,5,28000,140000
112,2026-03-05,67,70,7,2,2000,4000
113,2026-06-01,84,83,2,5,3200,16000
114,2026-08-04,85,36,1,1,1750,1750
115,2026-04-13,115,18,17,5,61600,308000
116,2026-02-26,94,1,3,2,60000,120000
117,2026-01-11,74,115,10,3,9550,28650
118,2026-08-01,116,69,22,1,2200,2200
119,2026-05-19,94,22,13,2,6700,13400
120,2026-04-11,29,55,24,1,1500,1500
121,2026-02-01,40,84,18,3,1750,5250
122,2026-02-18,93,45,4,4,2200,8800
123,2026-02-06,105,55,17,3,1500,4500
124,2026-05-14,86,50,7,3,2000,6000
125,2026-02-04,104,83,18,2,3200,6400
126,2026-03-29,97,110,18,1,2000,2000
127,2026-02-14,52,14,23,4,13450,53800
128,2026-03-05,40,105,13,3,8500,25500
129,2026-03-27,41,117,17,3,28000,84000
130,2026-01-28,61,27,25,5,750,3750
131,2026-07-03,109,67,13,2,10600,21200
132,2026-07-28,55,28,5,3,1400,4200
133,2026-07-02,87,28,19,2,1400,2800
134,2026-02-25,113,50,12,4,2000,8000
135,2026-06-15,23,34,6,3,550,1650
136,2026-02-16,16,14,19,2,13450,26900
137,2026-07-01,101,5,22,3,30000,90000
138,2026-06-30,72,73,19,4,3000,12000
139,2026-02-02,71,98,15,1,1700,1700
140,2026-04-17,6,5,12,4,30000,120000
141,2026-05-17,75,97,8,5,1800,9000
142,2026-03-11,19,26,20,5,5050,25250
143,2026-06-06,87,91,1,5,9550,47750
144,2026-01-16,43,110,24,4,2000,8000
145,2026-08-14,108,46,20,1,1100,1100
146,2026-08-13,46,14,1,5,13450,67250
147,2026-05-16,40,20,11,5,53100,265500
148,2026-05-08,64,20,23,1,53100,53100
149,2026-02-10,46,72,24,3,14150,42450
150,2026-02-19,50,1,10,3,60000,180000
151,2026-01-07,76,54,5,5,650,3250
152,2026-07-02,117,77,15,3,700,2100
153,2026-02-14,14,24,5,3,8250,24750
154,2026-07-12,57,7,24,2,3700,7400
155,2026-05-19,115,88,4,3,2350,7050
156,2026-06-19,45,98,3,4,1700,6800
157,2026-05-07,83,64,7,4,2950,11800
158,2026-06-11,87,39,2,3,950,2850
159,2026-04-26,8,55,11,5,1500,7500
160,2026-07-12,98,34,18,1,550,550
161,2026-04-22,88,71,20,5,3200,16000
162,2026-05-01,50,4,16,5,29500,147500
163,2026-06-07,52,7,16,5,3700,18500
164,2026-08-25,19,27,3,5,750,3750
165,2026-03-04,29,56,7,1,1200,1200
166,2026-02-11,54,92,18,1,1400,1400
167,2026-09-05,51,19,4,3,7400,22200
168,2026-02-12,31,10,7,5,4500,22500
169,2026-03-18,3,107,1,1,4250,4250
170,2026-02-25,47,49,6,2,12000,24000
171,2026-02-18,76,28,2,4,1400,5600
172,2026-05-12,101,87,12,5,1250,6250
173,2026-06-20,61,44,4,3,1400,4200
174,2026-05-09,78,1,19,1,60000,60000
175,2026-08-01,4,82,22,2,5050,10100
176,2026-04-18,119,51,20,1,750,750
177,2026-02-02,29,72,1,5,14150,70750
178,2026-06-23,52,18,5,5,61600,308000
179,2026-04-24,58,59,12,4,15900,63600
180,2026-04-25,107,32,24,2,950,1900
181,2026-06-14,107,18,15,5,61600,308000
182,2026-08-18,76,83,22,3,3200,9600
183,2026-01-10,112,32,17,2,950,1900
184,2026-02-23,76,30,6,5,7850,39250
185,2026-01-02,58,50,10,1,2000,2000
186,2026-03-10,118,106,1,1,2800,2800
187,2026-02-19,35,12,16,5,4150,20750
188,2026-05-31,4,6,21,5,8950,44750
189,2026-06-05,36,75,10,2,2350,4700
190,2026-06-02,13,84,23,4,1750,7000
191,2026-08-07,26,44,22,5,1400,7000
192,2026-02-17,97,82,8,5,5050,25250
193,2026-02-22,39,89,10,4,900,3600
194,2026-01-03,48,2,12,5,95200,476000
195,2026-05-13,61,81,11,2,800,1600
196,2026-06-02,90,6,20,4,8950,35800
197,2026-05-22,94,69,19,5,2200,11000
198,2026-03-28,117,19,6,3,7400,22200
199,2026-03-18,47,10,7,4,4500,18000
200,2026-03-08,104,64,18,5,2950,14750
201,2026-02-02,101,25,11,1,1200,1200
202,2026-01-21,4,56,6,5,1200,6000
203,2026-07-27,120,112,3,4,7650,30600
204,2026-03-02,15,114,1,3,6150,18450
205,2026-02-20,55,19,9,4,7400,29600
206,2026-01-15,54,42,5,3,2800,8400
207,2026-08-12,106,54,22,2,650,1300
208,2026-01-10,49,84,2,3,1750,5250
209,2026-06-17,51,114,22,4,6150,24600
210,2026-07-29,56,17,18,1,45000,45000
211,2026-07-07,63,49,19,1,12000,12000
212,2026-04-07,2,13,3,2,2800,5600
213,2026-04-01,111,103,4,1,1900,1900
214,2026-07-18,6,85,5,5,2500,12500
215,2026-04-08,26,13,1,4,2800,11200
216,2026-01-24,41,85,5,2,2500,5000
217,2026-06-30,26,97,4,2,1800,3600
218,2026-07-17,79,98,5,3,1700,5100
219,2026-01-20,4,115,13,1,9550,9550
220,2026-08-31,50,49,23,1,12000,12000
221,2026-01-19,3,88,10,2,2350,4700
222,2026-05-19,31,12,14,3,4150,12450
223,2026-06-05,37,58,14,2,2800,5600
224,2026-05-15,64,1,3,2,60000,120000
225,2026-07-11,15,66,17,5,39200,196000
226,2026-03-23,77,63,21,1,12700,12700
227,2026-07-16,118,89,2,4,900,3600
228,2026-06-25,6,95,11,1,9550,9550
229,2026-07-06,36,96,4,4,33050,132200
230,2026-05-21,63,116,17,3,21250,63750
231,2026-02-10,44,48,8,1,2100,2100
232,2026-07-08,35,103,17,5,1900,9500
233,2026-03-15,19,108,6,5,3550,17750
234,2026-03-03,106,71,1,4,3200,12800
235,2026-01-04,61,12,5,5,4150,20750
236,2026-08-20,48,91,21,2,9550,19100
237,2026-05-11,39,106,9,1,2800,2800
238,2026-06-28,57,97,3,2,1800,3600
239,2026-03-19,110,49,11,1,12000,12000
240,2026-06-12,84,4,2,1,29500,29500
241,2026-01-13,28,82,20,3,5050,15150
242,2026-04-12,3,69,3,5,2200,11000
243,2026-08-15,79,38,6,1,2000,2000
244,2026-03-03,9,69,11,2,2200,4400
245,2026-09-01,51,95,5,5,9550,47750
246,2026-06-07,29,53,7,2,250,500
247,2026-04-26,61,114,25,2,6150,12300
248,2026-06-16,22,72,7,5,14150,70750
249,2026-04-09,110,110,19,1,2000,2000
250,2026-02-17,85,117,2,1,28000,28000
251,2026-05-12,15,106,9,3,2800,8400
252,2026-04-06,42,97,24,4,1800,7200
253,2026-03-31,17,76,19,3,2950,8850
254,2026-07-06,8,107,23,4,4250,17000
255,2026-07-16,36,23,3,4,8500,34000
256,2026-05-24,77,116,21,5,21250,106250
257,2026-09-05,2,94,15,3,5050,15150
258,2026-05-11,100,40,7,1,600,600
259,2026-09-07,16,35,4,2,350,700
260,2026-02-26,82,111,18,1,2350,2350
261,2026-05-20,112,11,16,5,4750,23750
262,2026-09-07,23,59,9,5,15900,79500
263,2026-02-04,13,92,22,4,1400,5600
264,2026-08-13,6,19,1,5,7400,37000
265,2026-02-05,55,3,15,5,74200,371000
266,2026-02-13,74,91,10,3,9550,28650
267,2026-09-04,29,22,14,3,6700,20100
268,2026-01-21,37,3,3,1,74200,74200
269,2026-07-22,87,43,23,2,5300,10600
270,2026-06-29,94,102,25,3,300,900
271,2026-03-07,71,63,23,4,12700,50800
272,2026-03-26,19,46,3,5,1100,5500
273,2026-05-10,40,60,11,4,2100,8400
274,2026-05-27,27,95,9,2,9550,19100
275,2026-07-30,33,106,22,3,2800,8400
276,2026-03-18,27,35,14,4,350,1400
277,2026-06-20,59,42,10,5,2800,14000
278,2026-08-24,99,73,12,3,3000,9000
279,2026-02-07,89,78,3,4,1000,4000
280,2026-06-06,95,26,5,4,5050,20200
281,2026-06-04,107,2,18,5,95200,476000
282,2026-08-19,36,112,20,1,7650,7650
283,2026-04-28,44,115,11,1,9550,9550
284,2026-05-30,62,97,13,2,1800,3600
285,2026-05-28,18,95,23,2,9550,19100
286,2026-06-08,78,69,12,2,2200,4400
287,2026-06-08,26,72,15,1,14150,14150
288,2026-06-16,95,96,4,1,33050,33050
289,2026-07-28,6,113,11,5,8500,42500
290,2026-02-11,22,51,19,2,750,1500
291,2026-06-21,10,28,13,3,1400,4200
292,2026-06-10,5,69,1,5,2200,11000
293,2026-07-01,105,60,15,5,2100,10500
294,2026-06-18,66,42,14,3,2800,8400
295,2026-06-03,112,113,5,2,8500,17000
296,2026-06-20,9,84,11,3,1750,5250
297,2026-04-14,32,18,19,2,61600,123200
298,2026-08-30,26,107,17,3,4250,12750
299,2026-04-04,32,39,9,5,950,4750
300,2026-07-07,95,80,18,5,2950,14750
301,2026-02-26,49,99,24,4,1900,7600
302,2026-05-20,38,44,6,2,1400,2800
303,2026-05-27,61,34,8,4,550,2200
304,2026-01-26,25,108,13,2,3550,7100
305,2026-06-28,102,17,23,1,45000,45000
306,2026-06-23,99,26,13,2,5050,10100
307,2026-05-25,77,73,8,4,3000,12000
308,2026-06-25,69,3,25,5,74200,371000
309,2026-01-23,104,49,18,1,12000,12000
310,2026-01-23,42,111,13,2,2350,4700
311,2026-01-24,100,110,3,5,2000,10000
312,2026-03-31,43,33,16,4,1800,7200
313,2026-02-16,95,41,4,2,300,600
314,2026-05-27,68,29,5,3,1500,4500
315,2026-01-13,17,59,1,4,15900,63600
316,2026-04-04,1,22,7,2,6700,13400
317,2026-06-10,86,41,7,3,300,900
318,2026-04-01,68,38,20,4,2000,8000
319,2026-08-02,48,110,3,1,2000,2000
320,2026-01-21,49,70,18,2,2000,4000
321,2026-08-18,70,96,4,5,33050,165250
322,2026-06-21,76,8,17,4,5900,23600
323,2026-01-01,70,60,16,1,2100,2100
324,2026-05-29,43,47,2,5,6350,31750
325,2026-08-21,37,35,3,3,350,1050
326,2026-08-28,8,55,23,3,1500,4500
327,2026-02-26,11,87,21,3,1250,3750
328,2026-07-31,70,95,15,3,9550,28650
329,2026-05-04,87,55,1,4,1500,6000
330,2026-08-23,72,95,14,1,9550,9550
331,2026-02-12,120,92,3,1,1400,1400
332,2026-07-27,1,118,10,3,13450,40350
333,2026-06-10,111,63,6,5,12700,63500
334,2026-07-17,59,40,10,4,600,2400
335,2026-01-14,119,100,2,5,450,2250
336,2026-08-08,80,94,6,1,5050,5050
337,2026-04-06,53,75,12,2,2350,4700
338,2026-01-01,115,6,22,3,8950,26850
339,2026-08-09,106,10,3,5,4500,22500
340,2026-07-12,17,2,7,2,95200,190400
341,2026-03-09,110,116,3,2,21250,42500
342,2026-03-04,103,79,19,2,1250,2500
343,2026-02-10,109,19,17,5,7400,37000
344,2026-04-14,55,51,21,5,750,3750
345,2026-03-17,21,66,12,3,39200,117600
346,2026-04-24,5,86,20,5,2000,10000
347,2026-01-09,16,91,4,4,9550,38200
348,2026-07-10,7,29,8,1,1500,1500
349,2026-02-09,51,47,6,3,6350,19050
350,2026-04-25,89,21,19,1,35000,35000
351,2026-01-02,78,35,13,2,350,700
352,2026-05-07,39,45,7,1,2200,2200
353,2026-08-18,42,97,4,2,1800,3600
354,2026-06-28,56,115,22,2,9550,19100
355,2026-04-22,72,65,9,2,55000,110000
356,2026-07-11,52,111,16,3,2350,7050
357,2026-07-23,50,65,15,1,55000,55000
358,2026-02-01,102,36,17,4,1750,7000
359,2026-09-01,8,103,17,5,1900,9500
360,2026-08-31,85,8,5,1,5900,5900
361,2026-08-01,91,117,6,2,28000,56000
362,2026-04-24,56,43,5,1,5300,5300
363,2026-07-07,45,116,21,4,21250,85000
364,2026-01-27,51,62,12,2,5050,10100
365,2026-05-04,43,82,2,4,5050,20200
366,2026-02-05,54,50,7,4,2000,8000
367,2026-02-18,109,79,19,4,1250,5000
368,2026-02-06,73,7,9,5,3700,18500
369,2026-05-31,78,52,10,4,250,1000
370,2026-04-02,98,28,9,1,1400,1400
371,2026-02-12,6,60,12,5,2100,10500
372,2026-02-19,39,27,2,3,750,2250
373,2026-05-23,86,106,22,4,2800,11200
374,2026-02-18,58,94,17,2,5050,10100
375,2026-01-08,86,62,24,5,5050,25250
376,2026-08-02,42,3,17,2,74200,148400
377,2026-02-18,114,117,2,5,28000,140000
378,2026-05-19,74,14,5,5,13450,67250
379,2026-03-19,47,80,4,1,2950,2950
380,2026-04-27,67,29,22,1,1500,1500
381,2026-07-03,51,66,2,3,39200,117600
382,2026-02-16,93,88,3,4,2350,9400
383,2026-01-30,18,64,20,1,2950,2950
384,2026-05-28,66,73,2,2,3000,6000
385,2026-05-05,72,70,6,5,2000,10000
386,2026-05-17,66,46,12,5,1100,5500
387,2026-01-24,43,44,19,3,1400,4200
388,2026-07-01,80,91,14,5,9550,47750
389,2026-08-04,70,8,23,4,5900,23600
390,2026-07-07,18,117,14,3,28000,84000
391,2026-04-25,43,17,4,1,45000,45000
392,2026-07-07,83,43,6,1,5300,5300
393,2026-04-21,39,109,18,1,12000,12000
394,2026-01-02,117,31,16,5,5850,29250
395,2026-04-22,97,57,19,4,1600,6400
396,2026-05-02,41,98,2,3,1700,5100
397,2026-07-25,7,26,1,2,5050,10100
398,2026-01-19,24,76,15,3,2950,8850
399,2026-03-12,65,30,6,1,7850,7850
400,2026-03-24,44,6,3,1,8950,8950
401,2026-03-01,31,36,16,2,1750,3500
402,2026-08-14,49,112,16,3,7650,22950
403,2026-01-01,5,98,13,3,1700,5100
404,2026-06-21,71,32,8,2,950,1900
405,2026-06-14,74,116,11,5,21250,106250
406,2026-06-09,100,62,22,3,5050,15150
407,2026-07-29,36,38,5,3,2000,6000
408,2026-01-31,33,24,3,5,8250,41250
409,2026-07-12,98,3,11,1,74200,74200
410,2026-03-26,18,94,3,5,5050,25250
411,2026-07-16,80,112,2,2,7650,15300
412,2026-02-24,17,61,5,2,5500,11000
413,2026-04-02,65,7,22,1,3700,3700
414,2026-05-05,14,112,2,1,7650,7650
415,2026-05-14,37,7,7,2,3700,7400
416,2026-01-18,75,2,16,2,95200,190400
417,2026-08-09,45,42,23,4,2800,11200
418,2026-05-08,12,100,10,5,450,2250
419,2026-08-02,12,25,24,1,1200,1200
420,2026-03-08,41,30,3,1,7850,7850
421,2026-02-01,51,39,11,5,950,4750
422,2026-06-28,82,45,23,5,2200,11000
423,2026-07-03,46,83,23,1,3200,3200
424,2026-09-06,56,87,3,4,1250,5000
425,2026-09-01,91,59,2,3,15900,47700
426,2026-02-20,1,110,25,1,2000,2000
427,2026-08-11,44,102,15,1,300,300
428,2026-08-07,108,100,8,5,450,2250
429,2026-08-01,62,8,2,3,5900,17700
430,2026-08-11,76,71,16,5,3200,16000
431,2026-04-15,93,20,12,2,53100,106200
432,2026-08-20,9,41,10,4,300,1200
433,2026-02-03,116,87,24,4,1250,5000
434,2026-03-07,40,12,13,2,4150,8300
435,2026-08-28,79,75,2,4,2350,9400
436,2026-02-08,7,44,24,3,1400,4200
437,2026-02-14,85,44,7,1,1400,1400
438,2026-04-19,37,45,6,5,2200,11000
439,2026-07-10,82,18,5,5,61600,308000
440,2026-01-14,9,12,9,3,4150,12450
441,2026-03-16,85,1,21,2,60000,120000
442,2026-04-12,20,22,15,2,6700,13400
443,2026-08-06,21,99,22,1,1900,1900
444,2026-06-26,105,77,1,2,700,1400
445,2026-08-25,60,110,1,3,2000,6000
446,2026-01-16,7,25,7,5,1200,6000
447,2026-07-27,5,114,21,2,6150,12300
448,2026-07-08,85,109,4,4,12000,48000
449,2026-02-27,74,35,16,1,350,350
450,2026-05-29,118,58,6,3,2800,8400
451,2026-05-10,42,19,1,1,7400,7400
452,2026-05-10,65,96,1,5,33050,165250
453,2026-04-30,48,68,6,4,2100,8400
454,2026-05-10,14,46,11,4,1100,4400
455,2026-04-28,28,51,4,5,750,3750
456,2026-06-11,31,94,24,4,5050,20200
457,2026-07-17,93,12,8,2,4150,8300
458,2026-07-05,12,42,22,4,2800,11200
459,2026-08-10,111,53,4,2,250,500
460,2026-07-03,70,14,16,5,13450,67250
461,2026-06-29,58,1,3,3,60000,180000
462,2026-01-26,67,17,12,3,45000,135000
463,2026-09-04,84,102,7,2,300,600
464,2026-05-24,10,103,11,1,1900,1900
465,2026-08-15,54,114,18,5,6150,30750
466,2026-06-01,32,48,17,1,2100,2100
467,2026-06-25,20,50,3,2,2000,4000
468,2026-08-21,72,10,2,2,4500,9000
469,2026-03-13,79,24,3,2,8250,16500
470,2026-02-05,46,107,18,4,4250,17000
471,2026-07-04,5,47,13,2,6350,12700
472,2026-07-22,86,37,24,1,600,600
473,2026-05-02,115,83,10,3,3200,9600
474,2026-03-30,70,29,5,4,1500,6000
475,2026-01-26,18,23,4,2,8500,17000
476,2026-04-17,110,81,13,2,800,1600
477,2026-08-15,26,107,7,5,4250,21250
478,2026-02-16,3,30,7,2,7850,15700
479,2026-05-10,99,2,17,1,95200,95200
480,2026-05-23,78,106,13,4,2800,11200
481,2026-06-26,72,59,6,1,15900,15900
482,2026-02-17,60,86,12,1,2000,2000
483,2026-09-01,62,1,20,2,60000,120000
484,2026-03-22,90,26,7,2,5050,10100
485,2026-02-03,42,98,15,1,1700,1700
486,2026-07-21,51,12,12,2,4150,8300
487,2026-04-04,95,1,21,4,60000,240000
488,2026-01-01,117,4,2,5,29500,147500
489,2026-06-04,82,97,19,2,1800,3600
490,2026-08-26,102,88,10,5,2350,11750
491,2026-03-31,62,36,4,4,1750,7000
492,2026-05-23,45,92,9,3,1400,4200
493,2026-04-05,55,59,10,3,15900,47700
494,2026-07-25,107,90,9,2,1350,2700
495,2026-01-08,107,81,20,1,800,800
496,2026-05-07,84,54,10,5,650,3250
497,2026-08-09,42,71,20,1,3200,3200
498,2026-03-13,53,104,10,1,400,400
499,2026-07-16,51,11,16,3,4750,14250
500,2026-03-12,68,107,21,2,4250,8500
